iter	Logloss
0	0.6139389609
1	0.564701408
2	0.5191171626
3	0.4802476978
4	0.4399184798
5	0.4178245249
6	0.3888746889
7	0.3626925919
8	0.3387399216
9	0.3191594762
10	0.3024976109
11	0.2895351078
12	0.2782455591
13	0.2716347819
14	0.2625820097
15	0.2518790003
16	0.2423190616
17	0.2322704207
18	0.222187601
19	0.2120553088
20	0.2046299497
21	0.1979034819
22	0.1877938688
23	0.1828684696
24	0.1776515377
25	0.1717358186
26	0.1663581418
27	0.1633379789
28	0.1596184328
29	0.1549998093
30	0.1509618608
31	0.1467458312
32	0.1437304188
33	0.1401204984
34	0.1361804922
35	0.1317930968
36	0.1296738707
37	0.1262166257
38	0.1227224119
39	0.1207360915
40	0.117425273
41	0.1149179217
42	0.1120721908
43	0.110589681
44	0.1082385364
45	0.1050206354
46	0.1026796627
47	0.09962491286
48	0.09783091093
49	0.09522485714
50	0.0922375913
51	0.09105307485
52	0.0897011774
53	0.08825789979
54	0.08729024166
55	0.08507633599
56	0.08378260486
57	0.08196220768
58	0.07951415882
59	0.07798318041
60	0.07637947419
61	0.0740277456
62	0.07275018716
63	0.07082227077
64	0.06958214391
65	0.06770149326
66	0.06688837165
67	0.06602508931
68	0.06405285493
69	0.06292545144
70	0.06159818884
71	0.06118768148
72	0.05946021128
73	0.05788800721
74	0.05654495551
75	0.05548958384
76	0.05410694987
77	0.05329816803
78	0.05205779232
79	0.05153265387
80	0.05069950166
81	0.04954188906
82	0.04849804182
83	0.04701845361
84	0.04630784771
85	0.04565318505
86	0.04481069114
87	0.04441360952
88	0.04358741506
89	0.04274604402
90	0.04168034169
91	0.0411702428
92	0.04103026614
93	0.03986156146
94	0.03882408478
95	0.03827841052
96	0.03754570114
97	0.03703267723
98	0.03613873728
99	0.03516361624
