iter	Passed	Remaining
0	21	21540
1	47	23504
2	62	20726
3	104	26077
4	134	26736
5	158	26261
6	177	25209
7	200	24830
8	221	24372
9	246	24425
10	261	23513
11	285	23484
12	308	23437
13	343	24227
14	372	24486
15	400	24646
16	429	24819
17	455	24854
18	475	24561
19	497	24382
20	526	24528
21	548	24396
22	572	24301
23	591	24054
24	616	24053
25	631	23643
26	651	23473
27	672	23328
28	691	23155
29	710	22958
30	730	22830
31	749	22666
32	769	22554
33	781	22210
34	799	22054
35	813	21774
36	830	21603
37	848	21472
38	867	21385
39	879	21107
40	892	20865
41	911	20782
42	924	20566
43	941	20453
44	960	20381
45	978	20299
46	997	20222
47	1016	20168
48	1035	20102
49	1054	20026
50	1073	19967
51	1092	19922
52	1103	19724
53	1121	19655
54	1139	19584
55	1152	19431
56	1162	19228
57	1180	19176
58	1199	19127
59	1209	18942
60	1222	18811
61	1241	18776
62	1261	18758
63	1281	18736
64	1299	18698
65	1317	18642
66	1336	18604
67	1354	18564
68	1372	18524
69	1394	18520
70	1415	18519
71	1431	18454
72	1449	18412
73	1469	18391
74	1487	18343
75	1505	18308
76	1522	18252
77	1541	18217
78	1551	18086
79	1569	18050
80	1588	18024
81	1606	17985
82	1625	17954
83	1634	17821
84	1653	17802
85	1671	17765
86	1690	17737
87	1700	17623
88	1712	17527
89	1730	17499
90	1748	17464
91	1767	17444
92	1785	17414
93	1804	17388
94	1824	17379
95	1843	17363
96	1853	17250
97	1871	17229
98	1889	17198
99	1907	17167
100	1927	17159
101	1946	17133
102	1959	17062
103	1977	17040
104	1997	17027
105	2018	17024
106	2038	17009
107	2060	17014
108	2080	17003
109	2099	16984
110	2120	16983
111	2143	16991
112	2158	16944
113	2180	16944
114	2198	16916
115	2226	16967
116	2247	16959
117	2266	16938
118	2276	16855
119	2295	16836
120	2316	16828
121	2336	16813
122	2355	16798
123	2374	16771
124	2392	16744
125	2410	16720
126	2428	16690
127	2445	16661
128	2463	16634
129	2480	16602
130	2498	16571
131	2516	16546
132	2534	16524
133	2546	16457
134	2565	16436
135	2584	16421
136	2603	16397
137	2622	16383
138	2641	16362
139	2659	16338
140	2669	16264
141	2687	16240
142	2706	16218
143	2717	16154
144	2735	16131
145	2754	16112
146	2774	16096
147	2791	16072
148	2810	16053
149	2818	15973
150	2831	15917
151	2844	15869
152	2856	15812
153	2878	15813
154	2903	15828
155	2928	15844
156	2941	15793
157	2961	15782
158	2981	15771
159	3001	15760
160	3020	15741
161	3042	15737
162	3053	15680
163	3073	15665
164	3093	15653
165	3105	15602
166	3125	15590
167	3145	15578
168	3164	15559
169	3182	15538
170	3202	15525
171	3212	15462
172	3231	15449
173	3243	15399
174	3253	15339
175	3266	15293
176	3284	15273
177	3305	15262
178	3323	15244
179	3332	15179
180	3349	15156
181	3368	15139
182	3387	15122
183	3406	15107
184	3425	15092
185	3444	15076
186	3466	15068
187	3484	15049
188	3494	14993
189	3507	14953
190	3521	14917
191	3541	14902
192	3561	14891
193	3570	14836
194	3583	14793
195	3603	14783
196	3614	14733
197	3631	14709
198	3646	14677
199	3666	14666
200	3686	14656
201	3706	14643
202	3725	14624
203	3743	14607
204	3764	14600
205	3778	14565
206	3799	14554
207	3819	14544
208	3840	14536
209	3861	14524
210	3880	14510
211	3899	14493
212	3909	14444
213	3926	14421
214	3946	14407
215	3959	14370
216	3976	14348
217	3995	14331
218	4013	14314
219	4032	14296
220	4049	14274
221	4067	14255
222	4086	14239
223	4104	14220
224	4123	14202
225	4141	14183
226	4161	14169
227	4180	14154
228	4199	14139
229	4217	14119
230	4235	14100
231	4255	14088
232	4270	14059
233	4290	14043
234	4307	14023
235	4325	14002
236	4341	13977
237	4359	13957
238	4378	13942
239	4391	13906
240	4409	13888
241	4429	13873
242	4448	13858
243	4467	13841
244	4476	13796
245	4495	13778
246	4508	13744
247	4526	13724
248	4545	13709
249	4563	13689
250	4581	13672
251	4600	13655
252	4619	13640
253	4639	13625
254	4658	13611
255	4677	13594
256	4695	13575
257	4713	13556
258	4731	13536
259	4748	13515
260	4766	13494
261	4777	13456
262	4793	13431
263	4811	13413
264	4829	13395
265	4848	13379
266	4866	13360
267	4875	13317
268	4893	13297
269	4910	13277
270	4929	13261
271	4944	13233
272	4962	13216
273	4980	13196
274	4998	13177
275	5016	13159
276	5035	13144
277	5054	13128
278	5074	13114
279	5093	13098
280	5114	13086
281	5127	13055
282	5145	13035
283	5162	13014
284	5174	12982
285	5192	12962
286	5210	12944
287	5229	12928
288	5247	12911
289	5266	12893
290	5285	12877
291	5294	12838
292	5305	12802
293	5320	12776
294	5340	12762
295	5359	12747
296	5379	12732
297	5397	12715
298	5408	12681
299	5426	12662
300	5445	12645
301	5464	12629
302	5483	12614
303	5492	12575
304	5512	12560
305	5530	12542
306	5542	12511
307	5560	12494
308	5579	12476
309	5596	12456
310	5614	12439
311	5623	12399
312	5642	12383
313	5659	12365
314	5679	12350
315	5688	12314
316	5707	12296
317	5726	12281
318	5746	12266
319	5764	12248
320	5781	12228
321	5798	12210
322	5817	12194
323	5836	12177
324	5856	12163
325	5875	12146
326	5894	12130
327	5909	12106
328	5917	12069
329	5936	12053
330	5955	12036
331	5973	12018
332	5991	12000
333	6005	11975
334	6022	11956
335	6041	11940
336	6061	11924
337	6079	11906
338	6098	11891
339	6109	11859
340	6125	11838
341	6144	11820
342	6163	11805
343	6183	11791
344	6201	11773
345	6219	11756
346	6239	11741
347	6257	11724
348	6277	11709
349	6295	11692
350	6313	11673
351	6332	11658
352	6351	11641
353	6370	11625
354	6390	11611
355	6401	11579
356	6419	11561
357	6438	11545
358	6446	11511
359	6456	11477
360	6474	11460
361	6493	11444
362	6512	11427
363	6529	11408
364	6549	11393
365	6569	11380
366	6588	11363
367	6607	11347
368	6626	11330
369	6635	11297
370	6643	11264
371	6661	11245
372	6679	11228
373	6694	11205
374	6713	11189
375	6732	11173
376	6752	11158
377	6773	11145
378	6791	11128
379	6808	11109
380	6826	11090
381	6845	11074
382	6856	11045
383	6877	11033
384	6891	11008
385	6910	10992
386	6929	10976
387	6946	10957
388	6965	10940
389	6984	10924
390	6994	10894
391	7001	10860
392	7018	10840
393	7038	10826
394	7055	10806
395	7072	10787
396	7091	10770
397	7110	10754
398	7129	10738
399	7147	10721
400	7165	10704
401	7183	10686
402	7202	10669
403	7220	10652
404	7238	10634
405	7248	10605
406	7265	10585
407	7283	10568
408	7293	10539
409	7311	10520
410	7329	10503
411	7347	10485
412	7364	10467
413	7383	10450
414	7402	10434
415	7412	10406
416	7431	10389
417	7441	10361
418	7450	10330
419	7468	10314
420	7481	10289
421	7497	10269
422	7511	10246
423	7529	10228
424	7547	10211
425	7566	10194
426	7585	10178
427	7597	10153
428	7613	10132
429	7632	10117
430	7652	10102
431	7672	10087
432	7691	10071
433	7709	10054
434	7728	10038
435	7747	10021
436	7765	10004
437	7782	9986
438	7800	9968
439	7809	9939
440	7820	9912
441	7837	9894
442	7856	9878
443	7876	9862
444	7894	9845
445	7913	9829
446	7932	9813
447	7951	9797
448	7964	9774
449	7982	9756
450	8000	9739
451	8013	9715
452	8034	9702
453	8048	9678
454	8058	9653
455	8072	9630
456	8089	9611
457	8107	9595
458	8125	9577
459	8143	9560
460	8161	9542
461	8179	9525
462	8197	9507
463	8215	9490
464	8238	9478
465	8257	9463
466	8277	9447
467	8287	9420
468	8305	9403
469	8323	9386
470	8341	9368
471	8360	9352
472	8380	9336
473	8399	9320
474	8417	9303
475	8427	9277
476	8446	9261
477	8466	9245
478	8485	9229
479	8504	9213
480	8523	9196
481	8541	9179
482	8560	9163
483	8580	9147
484	8589	9120
485	8607	9103
486	8625	9086
487	8644	9069
488	8662	9051
489	8681	9036
490	8702	9021
491	8721	9005
492	8731	8979
493	8750	8962
494	8767	8944
495	8784	8926
496	8802	8908
497	8822	8892
498	8841	8877
499	8852	8852
500	8870	8835
501	8890	8819
502	8904	8798
503	8922	8781
504	8941	8764
505	8960	8747
506	8978	8730
507	8992	8708
508	9010	8692
509	9030	8676
510	9049	8659
511	9068	8643
512	9080	8620
513	9093	8598
514	9101	8571
515	9111	8546
516	9129	8529
517	9147	8511
518	9167	8496
519	9186	8480
520	9205	8463
521	9222	8445
522	9242	8429
523	9261	8412
524	9280	8396
525	9300	8380
526	9318	8363
527	9338	8348
528	9357	8331
529	9374	8313
530	9395	8298
531	9403	8272
532	9421	8254
533	9440	8238
534	9459	8222
535	9479	8205
536	9498	8189
537	9516	8171
538	9534	8154
539	9553	8137
540	9565	8116
541	9585	8099
542	9612	8090
543	9632	8074
544	9653	8059
545	9672	8042
546	9692	8026
547	9702	8003
548	9720	7985
549	9740	7969
550	9759	7953
551	9773	7931
552	9792	7915
553	9812	7899
554	9831	7882
555	9849	7865
556	9869	7849
557	9888	7832
558	9906	7815
559	9925	7798
560	9944	7782
561	9962	7764
562	9980	7746
563	9999	7729
564	10018	7713
565	10036	7695
566	10055	7678
567	10072	7660
568	10091	7643
569	10110	7627
570	10130	7611
571	10148	7593
572	10169	7578
573	10177	7552
574	10195	7535
575	10213	7518
576	10240	7507
577	10258	7489
578	10277	7472
579	10296	7456
580	10315	7439
581	10334	7422
582	10352	7405
583	10371	7388
584	10390	7371
585	10408	7353
586	10427	7336
587	10445	7319
588	10466	7303
589	10485	7286
590	10504	7269
591	10523	7252
592	10542	7235
593	10561	7218
594	10580	7202
595	10598	7184
596	10618	7167
597	10637	7151
598	10657	7134
599	10674	7116
600	10694	7099
601	10714	7083
602	10733	7066
603	10750	7048
604	10769	7031
605	10787	7013
606	10805	6996
607	10823	6978
608	10842	6961
609	10862	6944
610	10881	6928
611	10901	6911
612	10919	6893
613	10927	6869
614	10946	6852
615	10963	6834
616	10981	6816
617	10998	6798
618	11017	6781
619	11035	6763
620	11053	6746
621	11073	6729
622	11091	6711
623	11112	6695
624	11133	6680
625	11152	6663
626	11172	6646
627	11190	6628
628	11208	6611
629	11227	6593
630	11247	6577
631	11265	6559
632	11283	6541
633	11301	6524
634	11320	6507
635	11339	6489
636	11356	6471
637	11376	6455
638	11396	6438
639	11415	6421
640	11435	6404
641	11455	6387
642	11473	6370
643	11492	6353
644	11511	6336
645	11530	6318
646	11550	6302
647	11569	6284
648	11588	6267
649	11607	6250
650	11626	6232
651	11643	6214
652	11661	6196
653	11678	6178
654	11697	6161
